customer_state,avg_day_gap,state_name
AC,-20.73,Acre
RO,-20.1,Rondônia
AP,-19.69,Amapá
AM,-19.57,Amazonas
RR,-17.29,Roraima
MT,-14.36,Mato Grosso
PA,-14.07,Pará
RS,-13.91,Rio Grande do Sul
RN,-13.65,Rio Grande do Norte
PR,-13.31,Paraná
PE,-13.29,Pernambuco
PB,-13.26,Paraíba
MG,-13.24,Minas Gerais
GO,-12.19,Goiás
TO,-12.13,Tocantins
DF,-12.05,Distrito Federal
RJ,-11.76,Rio de Janeiro
SC,-11.5,Santa Catarina
PI,-11.31,Piauí
SP,-11.08,São Paulo
MS,-11.05,Mato Grosso do Sul
CE,-10.8,Ceará
BA,-10.79,Bahia
ES,-10.5,Espírito Santo
SE,-10.02,Sergipe
MA,-9.57,Maranhão
AL,-8.71,Alagoas
