order_month,total_gmv,mom_growth_pct
2017-03-01,359198.85,53.36
2017-04-01,340669.68,-5.16
2017-05-01,489338.25,43.64
2017-06-01,421923.37,-13.78
2017-07-01,481604.52,14.15
2017-08-01,554699.7,15.18
2017-09-01,607399.67,9.5
2017-10-01,648247.65,6.73
2017-11-01,987765.37,52.37
2017-12-01,726033.19,-26.5
2018-01-01,924645.0,27.36
2018-02-01,826437.13,-10.62
2018-03-01,953356.25,15.36
2018-04-01,973534.09,2.12
2018-05-01,977544.69,0.41
2018-06-01,856077.86,-12.43
2018-07-01,867953.46,1.39
2018-08-01,838576.64,-3.38
